Model,Batch,Metric,Delta,CI_Low,CI_High
deepseek_v3_2,isolated,Spurious_N,-0.4666666666666668,-7.230004437119675,2.8696462450592857
deepseek_v3_2,two_way,Spurious_N,-0.5319947043248014,-1.8542896825396826,0.3151950405409275
deepseek_v3_2,three_way,Spurious_N,-0.9089275630165818,-2.6107425781663167,0.4226288541347519
grok_4_1_fast,isolated,Spurious_N,-3.588648648648648,-8.851047872340425,-1.0167047807265197
grok_4_1_fast,two_way,Spurious_N,-0.12754115648251219,-1.2063587454212457,0.5050910851432389
grok_4_1_fast,three_way,Spurious_N,-0.1932676518883416,-1.2388350522929115,0.631778921965394
gpt_5_mini,isolated,Delta_Volume,14.64967596311499,-6.222947929742964,46.64773458031288
gpt_5_mini,two_way,Delta_Volume,1.4220128828218996,-21.880521799623068,18.18197429654156
gpt_5_mini,three_way,Delta_Volume,3.129736419354746,-21.166694481401393,21.866541664200884
deepseek_v3_2,isolated,Delta_Volume,24.369273781667484,-12.308931117857027,100.01719379624073
deepseek_v3_2,two_way,Delta_Volume,19.0022684880946,-0.5102125238964174,42.3802092934925
deepseek_v3_2,three_way,Delta_Volume,6.009131543507806,-6.730313981393855,21.70826286391721
grok_4_1_fast,isolated,Delta_Volume,21.21272204155926,-50.19248048597535,82.26522813562188
grok_4_1_fast,two_way,Delta_Volume,17.722528653523458,4.510487824540421,39.42321636257097
grok_4_1_fast,three_way,Delta_Volume,3.9426273748292084,-12.241314524419616,25.878593109625207
gpt_5_mini,isolated,SLICE_UNION_Actual_Coverage,0.49839743589743585,0.1,0.8003525641025638
gpt_5_mini,two_way,SLICE_UNION_Actual_Coverage,0.029758841036414574,-0.3290474194521327,0.32902679728125717
gpt_5_mini,three_way,SLICE_UNION_Actual_Coverage,0.19035552425572683,-0.10468361363105759,0.41458821861679324
deepseek_v3_2,isolated,SLICE_UNION_Actual_Coverage,-0.05319940476190482,-0.6672433035714286,0.5187580874741199
deepseek_v3_2,two_way,SLICE_UNION_Actual_Coverage,0.3301461325270849,-0.1552639783983769,0.6451603011683658
deepseek_v3_2,three_way,SLICE_UNION_Actual_Coverage,0.2609773729155752,-0.1268355260438296,0.5429907844306653
grok_4_1_fast,isolated,SLICE_UNION_Actual_Coverage,-0.6276556776556776,-0.7902073732718894,-0.3527886128364391
grok_4_1_fast,two_way,SLICE_UNION_Actual_Coverage,0.27729930887825627,-0.12429985802414842,0.5536062378167641
grok_4_1_fast,three_way,SLICE_UNION_Actual_Coverage,0.3589031886285057,0.053672558286320754,0.520416888285531
gpt_5_mini,isolated,SLICE_UNION_OutOfSlice_Actual_N,-0.07692307692307687,-2.407857142857143,2.587916666666664
gpt_5_mini,two_way,SLICE_UNION_OutOfSlice_Actual_N,-0.7487745098039218,-2.765932971014493,1.1399036224659354
gpt_5_mini,three_way,SLICE_UNION_OutOfSlice_Actual_N,-0.27502120441051714,-2.225101600985222,1.2682180160291354
deepseek_v3_2,isolated,SLICE_UNION_OutOfSlice_Actual_N,0.625,-0.8461538461538463,2.2418103448275857
deepseek_v3_2,two_way,SLICE_UNION_OutOfSlice_Actual_N,-0.9821428571428572,-3.4803741708126035,0.22041396103896083
deepseek_v3_2,three_way,SLICE_UNION_OutOfSlice_Actual_N,-1.1968452895419188,-2.7857172446443363,0.2512513121926006
grok_4_1_fast,isolated,SLICE_UNION_OutOfSlice_Actual_N,1.6923076923076923,1.0,2.2
grok_4_1_fast,two_way,SLICE_UNION_OutOfSlice_Actual_N,-1.2818181818181817,-2.3417083975346684,0.23276740237690716
grok_4_1_fast,three_way,SLICE_UNION_OutOfSlice_Actual_N,-1.3289537712895376,-1.8842244121271075,-0.42699523391412264
