Model,Batch,Quartile,N_Scored,N_Passed,Pass_Rate,Minimal_Rate_Passed,Avg_Line_Deviation,Avg_Levenshtein,Avg_Jaccard,Avg_Expected_N,Avg_Actual_N,Avg_Spurious_N,Avg_Missed_N,Avg_Delta_Volume,Avg_Delta_Effort,Avg_Union_Actual_Coverage,Avg_Union_OutOfSlice_Actual_N
deepseek_v3_2,two_way,Q3,261,115,0.44061302681992337,0.41739130434782606,24.782608695652176,0.24895776521739127,0.6963028249027486,15.730434782608695,5.973913043478261,4.539130434782609,14.295652173913043,6.065316525638833,72.46211497900244,0.33082481932481933,7.15
deepseek_v3_2,two_way,Q4,261,206,0.789272030651341,0.39805825242718446,8.237864077669903,0.09756339320388349,0.8609516146630899,5.101941747572815,2.29126213592233,1.354368932038835,4.165048543689321,22.682798797861526,219.10651376455348,0.5801461325270849,1.1428571428571428
gpt_5_mini,isolated,Q1,81,30,0.37037037037037035,0.3333333333333333,26.933333333333334,0.34141593333333337,0.5817707920341538,13.033333333333333,6.233333333333333,3.3,10.1,21.90313671604348,238.22368087316175,0.0,2.0
gpt_5_mini,isolated,Q2,81,36,0.4444444444444444,0.1111111111111111,36.30555555555556,0.41280944444444434,0.49109941077710023,21.083333333333332,5.972222222222222,4.361111111111111,19.47222222222222,55.83023391630601,548.1526311686462,0.23526728699142493,8.777777777777779
gpt_5_mini,isolated,Q3,81,34,0.41975308641975306,0.14705882352941177,24.41176470588235,0.3730810882352942,0.5174932443183222,6.970588235294118,5.264705882352941,4.294117647058823,6.0,50.714769137504895,480.966575377695,0.3824786324786325,1.6153846153846154
gpt_5_mini,isolated,Q4,81,41,0.5061728395061729,0.0975609756097561,24.146341463414632,0.3763569512195122,0.528468975868279,12.268292682926829,5.536585365853658,4.414634146341464,11.146341463414634,36.55281267915847,385.3738247792661,0.49839743589743585,1.9230769230769231
gpt_5_mini,three_way,Q1,512,206,0.40234375,0.3786407766990291,17.07281553398058,0.26772598058252434,0.6617793980173966,8.218446601941748,3.5194174757281553,2.3009708737864076,7.0,27.4900157715199,246.7920982488381,0.344116512345679,2.3055555555555554
gpt_5_mini,three_way,Q2,512,228,0.4453125,0.13596491228070176,40.93421052631579,0.4677325964912281,0.45011918526326244,27.263157894736842,4.293859649122807,2.736842105263158,25.70614035087719,28.955564170235455,269.25760993190295,0.2435208349938215,3.732394366197183
gpt_5_mini,three_way,Q3,512,292,0.5703125,0.21232876712328766,24.58219178082192,0.3551003390410959,0.5631772373892404,13.729452054794521,4.017123287671233,2.7705479452054793,12.482876712328768,27.837599114842366,259.7854739265534,0.41994246802764634,2.5210084033613445
gpt_5_mini,three_way,Q4,514,325,0.632295719844358,0.19076923076923077,11.932307692307692,0.2537078492307692,0.6588709773934615,3.436923076923077,3.670769230769231,2.7815384615384615,2.5476923076923077,30.619752190874646,282.0002212185104,0.5344720366014059,2.030534351145038
gpt_5_mini,two_way,Q1,261,103,0.3946360153256705,0.3786407766990291,17.805825242718445,0.2569889029126214,0.6741066854950197,8.310679611650485,3.8640776699029127,2.466019417475728,6.912621359223301,30.76176547899671,264.06800580844856,0.46872082166199813,3.3529411764705883
gpt_5_mini,two_way,Q2,261,113,0.4329501915708812,0.12389380530973451,37.13274336283186,0.42166806194690265,0.4979282351619807,23.23008849557522,5.778761061946903,3.982300884955752,21.43362831858407,25.96390516059867,244.7220868452952,0.3262578343405412,3.657142857142857
gpt_5_mini,two_way,Q3,261,117,0.4482758620689655,0.2564102564102564,23.324786324786324,0.3387425811965811,0.5804709325058188,12.572649572649572,4.897435897435898,3.4957264957264957,11.17094017094017,26.403233345818823,247.84426840769552,0.37386943593840144,5.4324324324324325
gpt_5_mini,two_way,Q4,261,160,0.6130268199233716,0.10625,22.9,0.35672896875,0.5395404679541189,9.59375,4.58125,3.53125,8.54375,32.18377836181861,387.9415950959577,0.4984796626984127,2.6041666666666665
grok_4_1_fast,isolated,Q1,81,37,0.4567901234567901,0.43243243243243246,18.756756756756758,0.2835745675675676,0.6659124577794653,8.64864864864865,6.972972972972973,5.648648648648648,7.324324324324325,-5.2875318916980705,59.796027069883856,1.0,0.0
grok_4_1_fast,isolated,Q2,81,26,0.32098765432098764,0.5,4.8076923076923075,0.12603638461538463,0.8403541287904682,1.3846153846153846,3.0384615384615383,2.1538461538461537,0.5,-1.453074098264396,101.6673211772962,0.55,1.6
grok_4_1_fast,isolated,Q3,81,31,0.38271604938271603,0.7096774193548387,9.838709677419354,0.12068638709677419,0.8463084549881392,6.806451612903226,2.7096774193548385,1.6451612903225807,5.741935483870968,9.974385248832958,163.8157738967174,0.14285714285714285,2.142857142857143
grok_4_1_fast,isolated,Q4,81,50,0.6172839506172839,0.52,13.48,0.15660153999999998,0.8099941278107465,10.04,3.12,2.06,8.98,15.92519014986119,218.045202510344,0.3723443223443223,1.6923076923076923
grok_4_1_fast,three_way,Q1,513,174,0.3391812865497076,0.4425287356321839,26.689655172413794,0.27362682758620693,0.6787405066935784,22.080459770114942,3.2126436781609193,1.8218390804597702,20.689655172413794,7.0808858799457175,119.87256113736862,0.14956140350877192,2.533333333333333
grok_4_1_fast,three_way,Q2,513,208,0.40545808966861596,0.4326923076923077,15.10576923076923,0.19539128846153847,0.7496565363431174,9.673076923076923,3.644230769230769,2.639423076923077,8.66826923076923,0.7984484002133314,76.26892257665953,0.39618055555555554,2.1354166666666665
grok_4_1_fast,three_way,Q3,513,257,0.5009746588693957,0.4396887159533074,13.626459143968871,0.15521689105058364,0.8006844911011943,8.863813229571985,3.1284046692607004,2.2062256809338523,7.941634241245136,14.185230199167014,268.12562011897563,0.378392512381432,2.231578947368421
grok_4_1_fast,three_way,Q4,513,385,0.7504873294346979,0.4831168831168831,11.992207792207791,0.13173472727272725,0.8304871510195029,9.225974025974025,2.548051948051948,1.6285714285714286,8.306493506493506,11.023513254774926,209.52022660260468,0.5084645921372776,1.2043795620437956
grok_4_1_fast,two_way,Q1,261,101,0.38697318007662834,0.5148514851485149,15.702970297029703,0.1835422475247525,0.7711067824402382,11.841584158415841,3.297029702970297,1.8316831683168318,10.376237623762377,-4.674590837080334,-27.59819109055569,0.2222222222222222,2.5
grok_4_1_fast,two_way,Q2,261,96,0.367816091954023,0.3645833333333333,21.479166666666668,0.2646196979166667,0.678262179313229,14.989583333333334,4.09375,3.03125,13.927083333333334,13.728392178480021,207.29516413359298,0.311764705882353,3.764705882352941
grok_4_1_fast,two_way,Q3,261,105,0.40229885057471265,0.5714285714285714,8.58095238095238,0.11283677142857144,0.8477218348583064,2.895238095238095,4.723809523809524,3.742857142857143,1.9142857142857144,8.668535027687465,161.05644815818675,0.38895068594734883,5.241379310344827
grok_4_1_fast,two_way,Q4,261,169,0.6475095785440613,0.5029585798816568,13.42603550295858,0.14020737869822483,0.8234844392924304,10.071005917159763,2.6449704142011834,1.7041420118343196,9.1301775147929,13.047937816443124,247.66991314071612,0.4995215311004785,1.2181818181818183
